超级少女 第一季,6.2,(3363人评价)
同志亦凡人 第二季,9.2,(6629人评价)
盲点 第一季,6.8,(1978人评价)
格林 第一季,7.4,(10913人评价)
犯罪心理 第六季,9.0,(15685人评价)
天蝎 第四季,7.0,(191人评价)
贝茨旅馆 第二季,7.6,(3644人评价)
穿越者 第一季,7.5,(566人评价)
肮脏妻子俱乐部,0.0,(暂无评分)
104号房间 第一季,6.1,(1297人评价)
杰西卡·琼斯 第二季,0.0,(尚未播出)
欢乐一家亲 第一季,9.2,(1530人评价)
神烦警探 第二季,9.0,(4231人评价)
绿箭侠 第二季,7.4,(8061人评价)
金牌律师,8.6,(5231人评价)
政局边缘,9.2,(11018人评价)
特工卡特 第二季,8.1,(4817人评价)
蛇蝎美人 第一季,5.9,(4292人评价)
末日孤舰 第三季,6.8,(3427人评价)
豪斯医生 第八季,9.5,(7909人评价)
法律与秩序 第一季,9.3,(1791人评价)
犯罪现场调查 第四季,9.2,(4962人评价)
芝加哥急救 第三季,0.0,(暂无评分)
蛇蝎女佣 第二季,8.1,(9899人评价)
闭眼 第一季,7.4,(367人评价)
黑胶时代,8.4,(1297人评价)
生死狙击 第一季,7.2,(2277人评价)
亿万 第三季,0.0,(尚未播出)
末日孤舰 第二季,8.3,(4833人评价)
陨落星辰 第一季,6.8,(3924人评价)
善地 第二季,8.3,(164人评价)
蛇蝎女佣 第三季,8.1,(5435人评价)
重案组 第一季,7.8,(1522人评价)
绿箭侠 第三季,7.0,(5404人评价)
瑞克和莫蒂 第四季,0.0,(尚未播出)
费丽丝蒂 第一季,8.5,(1589人评价)
黑帆 第三季,9.1,(2434人评价)
神烦警探 第三季,8.8,(3020人评价)
女子无畏 第一季,7.4,(462人评价)
同妻俱乐部 第三季,8.8,(500人评价)
飞出个未来 第一季,9.3,(7877人评价)
朽木 第一季,8.5,(490人评价)
谋杀 第四季,8.7,(3280人评价)
危机边缘 第四季,8.5,(7576人评价)
罪恶黑名单 第四季,7.7,(1301人评价)
新超人 第一季,8.9,(4356人评价)
困兽 第一季,6.8,(1592人评价)
零异频道 第二季,7.6,(317人评价)
律师本色 第一季,9.1,(1391人评价)
基和皮尔 第一季,9.2,(1276人评价)
识骨寻踪 第十季,8.5,(2104人评价)
危机边缘 第五季,8.5,(6839人评价)
蛇蝎女佣 第四季,8.0,(3719人评价)
盲点 第二季,7.2,(488人评价)
马可波罗 第一季,5.9,(4762人评价)
黑松镇 第一季,7.3,(2342人评价)
大西洋帝国  第二季,9.2,(9415人评价)
黑吃黑 第四季,8.5,(2716人评价)
大西洋帝国 第三季,9.3,(7233人评价)
吸血鬼日记 第七季,6.7,(4193人评价)
人人都爱雷蒙德 第一季,8.6,(6877人评价)
失联,7.4,(282人评价)
同志亦凡人 第三季,9.3,(5856人评价)
搜寻死党 第一季,7.4,(245人评价)
犯罪现场调查 第五季,9.3,(4766人评价)
加州靡情 第一季,8.2,(3765人评价)
恐怖大师 第一季,7.4,(6261人评价)
神盾局特工：双面特工 第一季,7.9,(1232人评价)
妮基塔 第三季,8.0,(11400人评价)
生活大爆炸 第十二季,0.0,(尚未播出)
黑色孤儿 第四季,8.8,(2672人评价)
剧集版超能陆战队,6.7,(78人评价)
黑色警报 第一季,8.2,(813人评价)
夸里,8.2,(1594人评价)
真实的人类 第二季,8.4,(6219人评价)
嘉年华 第二季,9.1,(167人评价)
吸血鬼日记 第六季,6.6,(7285人评价)
直弯好基友,8.0,(10478人评价)
地球百子 第四季,8.0,(679人评价)
老爸有招 第一季,7.1,(499人评价)
